CountryID,DisplayName,Capital,GovernmentType,LeaderName,Population,GDP,Treasury,MilitaryPower,IntelligencePower,DiplomaticInfluence,PublicApproval,Stability,Resources,Allies,Rivals,Sanctions,TradePartners,StrategicRegions,MapPositionX,MapPositionY
USA,United States,Washington D.C.,Democracy,Alexander Reeves,335000000,27000000000000,850000000000,95,85,1250,75,80,Technology|Oil|Agriculture,UK|France|Germany|Japan,China|Russia,Russia,China|UK|Japan|Germany,NorthAmerica|Pacific,0.286,0.284
China,China,Beijing,OneParty,Wei Han Zhao,1412000000,18500000000000,620000000000,90,88,980,68,82,Manufacturing|RareEarth|Coal,Russia,USA,,USA|Brazil|SaudiArabia,EastAsia|SouthChinaSea,0.823,0.278
UK,United Kingdom,London,Democracy,Margaret Ashcombe,68000000,3300000000000,210000000000,72,80,640,66,78,Finance|NorthSeaOil,USA|France|Germany,Russia,Russia,USA|Germany|France,WesternEurope,0.500,0.214
France,France,Paris,Democracy,Elise Marchand,68000000,3000000000000,190000000000,70,76,610,60,74,NuclearEnergy|Agriculture|Luxury,USA|UK|Germany,Russia,Russia,Germany|UK|USA,WesternEurope|NorthAfrica,0.506,0.228
Germany,Germany,Berlin,Federation,Klaus Bergmann,84000000,4500000000000,300000000000,58,70,700,64,85,Manufacturing|Automotive|Engineering,USA|France|UK,Russia,Russia,France|UK|USA|China,WesternEurope,0.537,0.208
Russia,Russia,Moscow,Authoritarian,Dmitri Volkov,144000000,2100000000000,140000000000,88,82,520,45,55,NaturalGas|Oil|Minerals,China,USA|UK|France|Germany,USA|UK|France|Germany,China|India,EasternEurope|Arctic,0.604,0.190
India,India,New Delhi,Democracy,Ravi Chandrasekhar,1428000000,3900000000000,260000000000,75,68,560,70,72,Technology|Agriculture|Textiles,USA,,,USA|Russia|UAE,SouthAsia|IndianOcean,0.714,0.341
Japan,Japan,Tokyo,Democracy,Haruto Tanaka,123000000,4200000000000,310000000000,55,78,600,72,88,Electronics|Automotive|Robotics,USA,China,,USA|China|SaudiArabia,EastAsia|Pacific,0.888,0.302
Brazil,Brazil,Brasilia,Federation,Carlos Mendes Oliveira,216000000,2200000000000,150000000000,50,55,410,58,64,Agriculture|Oil|RareEarth,,,,China|USA,SouthAmerica|Amazon,0.367,0.588
SaudiArabia,Saudi Arabia,Riyadh,Monarchy,Faisal Al-Rashid,36000000,1100000000000,620000000000,65,60,480,80,76,Oil|NaturalGas,UAE|USA,,,China|Japan|USA,MiddleEast|PersianGulf,0.630,0.363
UAE,United Arab Emirates,Abu Dhabi,Monarchy,Zayed Al-Mansouri,10000000,550000000000,410000000000,48,58,390,82,84,Oil|Finance|Tourism,SaudiArabia|USA,,,India|China,MiddleEast|PersianGulf,0.651,0.364
